process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
short-term memory,map,gait,bstory_im,Men,321," .05( .02), $p$<.01 **",0.052,0.018,0.004," .00( .00), $p$=.23  ",0.003,0.002,0.234,"-.01( .01), $p$=.06 .",-0.015,0.008,0.064
short-term memory,eas,gait,digit_tot,Women,363,"12.35(6.17), $p$=.04 *",12.353,6.175,0.045," .62( .35), $p$=.08 .",0.619,0.349,0.076,"-.24( .88), $p$=.79  ",-0.237,0.881,0.788
short-term memory,eas,gait,digit_tot,Men,222,"9.48(9.98), $p$=.34  ",9.479,9.984,0.342," .18( .40), $p$=.66  ",0.177,0.397,0.656,"-.86(1.49), $p$=.56  ",-0.863,1.488,0.562
short-term memory,map,gait,logic_im,Women,935," .05( .02), $p$=.04 *",0.049,0.024,0.038," .00( .00), $p$=.02 *",0.005,0.002,0.023," .01( .01), $p$=.07 .",0.014,0.008,0.067
short-term memory,map,gait,logic_im,Men,321," .08( .04), $p$=.04 *",0.084,0.042,0.045," .00( .00), $p$=.36  ",0.004,0.004,0.361,"-.01( .01), $p$=.68  ",-0.006,0.015,0.682
short-term memory,octo,gait,prose_im,Women,269,"-1.31(1.09), $p$=.23  ",-1.311,1.094,0.231,"-.08( .10), $p$=.44  ",-0.076,0.098,0.439,"-.40( .26), $p$=.13  ",-0.396,0.259,0.126
short-term memory,octo,gait,prose_im,Men,139,"-2.36(1.41), $p$=.09 .",-2.362,1.41,0.094,"-.00( .14), $p$=.99  ",-0.002,0.139,0.988," .57( .78), $p$=.47  ",0.569,0.781,0.466
short-term memory,eas,gait,word_im,Women,363,"11.87(11.82), $p$=.32  ",11.874,11.82,0.315," .29( .82), $p$=.73  ",0.286,0.816,0.726,"1.28(2.26), $p$=.57  ",1.282,2.263,0.571
short-term memory,eas,gait,word_im,Men,222,"11.33(13.26), $p$=.39  ",11.326,13.257,0.393," .09( .88), $p$=.92  ",0.088,0.88,0.92,"2.95(2.69), $p$=.27  ",2.953,2.688,0.272
short-term memory,elsa,gait,word_im,Women,2225," .04( .01), $p$<.01 ***",0.038,0.009,0," .00( .00), $p$=.23  ",0,0,0.228," .01( .00), $p$=.09 .",0.006,0.004,0.094
