process_b_domain,study,model_number,subgroup,model_type,process_a,process_b,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
perceptual speed,lasa,b1,male,aehplus,gait,letter,800,"-1.88( .56), $p$<.01 ***","-.30( .21), $p$=.15  ","(-.72, .11)","-.31(-.37,-.24)","-.04( .01), $p$=.02 *","-.32( .14), $p$=.02 *","(-.58,-.05)","-.32(-.38,-.25)","-.22( .28), $p$=.43  ","-.03( .04), $p$=.43  ","(-.11, .05)","-.03(-.10, .04)"
perceptual speed,map,b1,female,aehplus,gait,num_comp,935," .10( .04), $p$=.03 *"," .11( .05), $p$=.02 *","( .01, .21)"," .12( .05, .18)"," .00( .00), $p$=.22  "," .29( .23), $p$=.20  ","(-.15, .74)"," .21( .15, .27)"," .03( .01), $p$=.02 *"," .06( .02), $p$=.02 *","( .01, .11)"," .06(-.01, .12)"
perceptual speed,map,b1,male,aehplus,gait,num_comp,321," .17( .06), $p$=.01 **"," .22( .08), $p$=.01 **","( .06, .37)"," .22( .11, .32)","-.00( .00), $p$=.28  ","-.40( .40), $p$=.32  ","(-1.19, .39)",---," .04( .02), $p$=.06 ."," .07( .04), $p$=.06 .","(-.00, .15)"," .07(-.04, .18)"
perceptual speed,octo,b1,female,aehplus,gait,psif,262,"-2.18(2.45), $p$=.38  ","-.24( .29), $p$=.41  ","(-.81, .33)","-.24(-.35,-.12)","-.25( .77), $p$=.74  ","-.76( .64), $p$=.24  ","(-2.01, .50)","-.76(-.80,-.70)","-.65( .56), $p$=.25  ","-.08( .07), $p$=.26  ","(-.22, .06)","-.08(-.20, .04)"
perceptual speed,octo,b1,male,aehplus,gait,psif,131,"-1.62(1.48), $p$=.27  ","-.30( .28), $p$=.27  ","(-.85, .24)","-.30(-.45,-.14)","-.08( .13), $p$=.53  ","-.48( .74), $p$=.51  ","(-1.94, .97)","-.48(-.60,-.34)"," .12( .51), $p$=.82  "," .02( .11), $p$=.82  ","(-.19, .24)"," .02(-.15, .19)"
perceptual speed,eas,b1,female,aehplus,gait,symbol,363,"46.98(24.64), $p$=.06 ."," .21( .10), $p$=.04 *","( .01, .41)"," .21( .11, .31)","2.53( .99), $p$=.01 **"," .66( .24), $p$=.01 **","( .19,1.13)"," .66( .60, .71)"," .16(2.92), $p$=.95  "," .00( .07), $p$=.95  ","(-.13, .14)"," .00(-.10, .11)"
perceptual speed,eas,b1,male,aehplus,gait,symbol,221,"68.90(26.04), $p$=.01 **"," .39( .14), $p$=.01 **","( .10, .67)"," .39( .27, .49)","1.59(1.33), $p$=.23  "," .67( .85), $p$=.43  ","(-.99,2.33)"," .67( .59, .74)","-.48(4.28), $p$=.91  ","-.01( .09), $p$=.91  ","(-.19, .17)","-.01(-.14, .12)"
perceptual speed,ilse,b1,female,aehplus,tug,symbol,225,"-1.45(2.00), $p$=.47  ",---,---,"-.13(-.26, .00)","-.00( .02), $p$=.96  ",---,---,"-.09(-.22, .04)"," .10( .58), $p$=.86  ",---,---," .02(-.11, .15)"
perceptual speed,ilse,b1,male,aehplus,tug,symbol,252,"-2.28(1.38), $p$=.10 .",---,---,"-.47(-.56,-.37)","-.01( .02), $p$=.68  ",---,---,"-.42(-.52,-.31)","-.49( .46), $p$=.28  ",---,---,"-.09(-.21, .03)"
perceptual speed,map,b1,female,aehplus,gait,symbol,935," .27( .06), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .14, .32)"," .24( .17, .30)"," .00( .00), $p$=.59  "," .09( .16), $p$=.59  ","(-.22, .40)"," .06(-.01, .12)"," .04( .02), $p$=.03 *"," .06( .03), $p$=.03 *","( .01, .12)"," .06(-.00, .13)"
perceptual speed,map,b1,male,aehplus,gait,symbol,321," .53( .09), $p$<.01 ***"," .46( .07), $p$<.01 ***","( .32, .60)"," .45( .36, .54)","-.01( .01), $p$=.35  ","-.33( .40), $p$=.41  ","(-1.12, .45)",---," .06( .03), $p$=.06 ."," .09( .05), $p$=.06 .","(-.00, .18)"," .09(-.02, .20)"
perceptual speed,octo,b1,female,aehplus,gait,symbol,266,"-10.73(5.36), $p$=.04 *","-.37( .14), $p$=.01 **","(-.64,-.09)","-.37(-.47,-.26)","-.27( .65), $p$=.68  ","-.42( .44), $p$=.35  ","(-1.28, .45)","-.42(-.51,-.31)","-2.12(1.52), $p$=.16  ","-.12( .08), $p$=.13  ","(-.27, .04)","-.12(-.24, .00)"
perceptual speed,octo,b1,male,aehplus,gait,symbol,134,"-7.59(2.82), $p$=.01 **","-.46( .14), $p$<.01 **","(-.74,-.17)","-.46(-.58,-.31)"," .00( .11), $p$=.99  "," .00(1.01), $p$=.99  ","(-1.97,1.98)"," .01(-.16, .18)","-2.51(1.15), $p$=.03 *","-.23( .09), $p$=.01 *","(-.42,-.05)","-.24(-.39,-.07)"
semantic memory,eas,b1,female,aehplus,gait,bnt,363,"-.88(4.93), $p$=.86  ","-.02( .14), $p$=.86  ","(-.29, .24)","-.02(-.13, .08)"," .01( .32), $p$=.98  "," .02(1.08), $p$=.98  ","(-2.08,2.13)"," .02(-.08, .13)"," .49( .92), $p$=.59  "," .04( .08), $p$=.59  ","(-.12, .21)"," .05(-.06, .15)"
semantic memory,eas,b1,male,aehplus,gait,bnt,222,"6.14(6.14), $p$=.32  "," .19( .18), $p$=.29  ","(-.16, .54)"," .19( .06, .31)","-.00( .42), $p$=.99  ","-.04(3.45), $p$=.99  ","(-6.80,6.73)","-.04(-.17, .09)"," .29( .95), $p$=.76  "," .02( .08), $p$=.76  ","(-.13, .18)"," .02(-.11, .16)"
